"SCHOOL_NAME","SCHOOL_YEAR","race_df","magnet","traditional","total_race","total_school","pct_race","pct_magnet","pct_traditional","dominant_race","STEM","ARTS","IB","MEDICAL","CAREER_TECH","ENVIRONMENTAL","num_programs","pct_free","pct_nonfree","diversity"
"ESSRIG ELEMENTARY",2022,"Black",0,43,43,566,0.0759717314487632,0,1,"Hispanic",0,0,0,0,0,0,0,1,0,1.208736162924
"ESSRIG ELEMENTARY",2022,"Hispanic",16,296,312,566,0.551236749116608,0.0512820512820513,0.948717948717949,"Hispanic",0,0,0,0,0,0,0,1,0,1.208736162924
"ESSRIG ELEMENTARY",2022,"Multiracial",0,38,38,566,0.0671378091872792,0,1,"Hispanic",0,0,0,0,0,0,0,1,0,1.208736162924
"ESSRIG ELEMENTARY",2023,"White",14,132,146,578,0.252595155709343,0.0958904109589041,0.904109589041096,"Hispanic",0,0,0,0,0,0,0,1,0,1.20686359357391
"ESSRIG ELEMENTARY",2023,"Asian",0,30,30,578,0.0519031141868512,0,1,"Hispanic",0,0,0,0,0,0,0,1,0,1.20686359357391
"ESSRIG ELEMENTARY",2023,"Black",0,38,38,578,0.0657439446366782,0,1,"Hispanic",0,0,0,0,0,0,0,1,0,1.20686359357391
"ESSRIG ELEMENTARY",2023,"Hispanic",15,304,319,578,0.551903114186851,0.0470219435736677,0.952978056426332,"Hispanic",0,0,0,0,0,0,0,1,0,1.20686359357391
"ESSRIG ELEMENTARY",2023,"Multiracial",0,45,45,578,0.0778546712802768,0,1,"Hispanic",0,0,0,0,0,0,0,1,0,1.20686359357391
"Essrig Elementary School",2024,"White",23,134,157,640,0.2453125,0.146496815286624,0.853503184713376,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.15599823181648
"Essrig Elementary School",2024,"Asian",0,22,22,640,0.034375,0,1,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.15599823181648
"Essrig Elementary School",2024,"Black",16,34,50,640,0.078125,0.32,0.68,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.15599823181648
"Essrig Elementary School",2024,"Hispanic",23,346,369,640,0.5765625,0.0623306233062331,0.937669376693767,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.15599823181648
"Essrig Elementary School",2024,"Multiracial",12,30,42,640,0.065625,0.285714285714286,0.714285714285714,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.15599823181648
"Essrig Elementary School ",2025,"White",34,110,144,576,0.25,0.236111111111111,0.763888888888889,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.12708796564992
"Essrig Elementary School ",2025,"Asian",0,23,23,576,0.0399305555555556,0,1,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.12708796564992
"Essrig Elementary School ",2025,"Black",12,26,38,576,0.0659722222222222,0.315789473684211,0.684210526315789,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.12708796564992
